Last login: Thu Feb 20 14:05:08 on console
maclab-85:~ delga017$ ps
  PID TTY           TIME CMD
 6860 ttys000    0:00.01 -bash
maclab-85:~ delga017$ ps x
  PID   TT  STAT      TIME COMMAND
 6704   ??  S      0:00.08 /System/Library/PrivateFrameworks/Noticeboard.framework/Versions/A/Resou
 6706   ??  S      0:01.99 /Library/Application Support/Malwarebytes/Malwarebytes Endpoint Agent/Us
 6708   ??  S      0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Conten
 6709   ??  Ss     0:00.05 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6710   ??  Ss     0:00.12 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices
 6711   ??  S      0:00.02 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
 6713   ??  S      0:01.39 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
 6716   ??  S      0:00.60 /System/Library/PrivateFrameworks/CoreParsec.framework/parsecd
 6717   ??  Ss     0:00.04 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6718   ??  Ss     0:00.05 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6719   ??  Ss     0:00.04 /System/Library/PrivateFrameworks/CoreWLANKit.framework/Versions/A/XPCSe
 6720   ??  Ss     0:00.01 /System/Library/PrivateFrameworks/login.framework/Versions/A/XPCServices
 6721   ??  S      0:00.06 /usr/libexec/videosubscriptionsd
 6724   ??  Ss     0:00.07 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6727   ??  S      0:00.26 /Library/Application Support/Adobe/Adobe Desktop Common/IPCBox/AdobeIPCB
 6728   ??  Ss     0:00.13 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.doc
 6729   ??  S      0:00.02 /System/Library/PrivateFrameworks/CallHistory.framework/Support/CallHist
 6733   ??  S      0:02.90 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Cont
 6734   ??  S      0:00.01 SafeEjectGPUAgent
 6735   ??  S      0:00.02 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents
 6736   ??  Ss     0:00.03 /System/Library/Frameworks/VideoToolbox.framework/Versions/A/XPCServices
 6742   ??  S      0:03.23 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Deskto
 6744   ??  S      0:12.19 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A
 6746   ??  S      0:00.38 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Cont
 6747   ??  S      0:00.46 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Cont
 6749   ??  S      0:00.37 /Library/Application Support/Adobe/Adobe Desktop Common/ADS/Adobe Deskto
 6751   ??  S      0:00.67 /Library/Application Support/Adobe/Creative Cloud Libraries/CCLibrary.ap
 6755   ??  S      0:00.07 /System/Library/Frameworks/ColorSync.framework/Support/colorsync.userage
 6759   ??  S      0:04.19 /Applications/Utilities/Adobe Creative Cloud/ACC/Creative Cloud.app/Cont
 6762   ??  S      0:00.20 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/MacOS
 6763   ??  S      0:01.45 /Applications/Utilities/Adobe Creative Cloud Experience/CCXProcess/CCXPr
 6764   ??  S      0:00.43 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/Frame
 6769   ??  Ss     0:00.14 /Applications/Utilities/Adobe Sync/CoreSync/Core Sync.app/Contents/PlugI
 6780   ??  S      0:00.39 /usr/libexec/studentd
 6784   ??  S      0:00.08 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resou
 6785   ??  S      0:00.29 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resou
 6786   ??  S      0:00.07 /System/Library/PrivateFrameworks/CommerceKit.framework/Resources/LaterA
 6787   ??  Ss     0:00.06 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCSe
 6789   ??  S      0:00.01 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6790   ??  S      0:01.10 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6792   ??  Ss     0:00.03 /System/Library/Frameworks/iTunesLibrary.framework/Versions/A/XPCService
 6793   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6794   ??  S      0:00.12 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6795   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6796   ??  S      0:00.04 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6797   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/FMClient.framework/Versions/A/XPCServi
 6798   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6799   ??  S      0:00.05 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6805   ??  S      0:13.93 /Applications/Safari.app/Contents/MacOS/Safari
 6806   ??  S      0:00.13 /System/Library/StagedFrameworks/Safari/SafariShared.framework/XPCServic
 6808   ??  Ss     0:01.78 /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCS
 6810   ??  Ss     0:00.21 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6811   ??  Ss     0:00.11 /Applications/Safari.app/Contents/XPCServices/com.apple.Safari.SandboxBr
 6812   ??  S      0:00.05 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Fram
 6813   ??  S      0:00.06 /System/Library/CoreServices/SafariSupport.bundle/Contents/MacOS/SafariL
 6820   ??  S      0:02.99 /System/Library/PrivateFrameworks/SafariSafeBrowsing.framework/com.apple
 6832   ??  Ss     0:00.09 /System/Library/StagedFrameworks/Safari/SafariShared.framework/Versions/
 6834   ??  S      0:00.01 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCSe
 6835   ??  Ss     0:00.48 /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCS
 6836   ??  S      0:00.69 /System/Library/Services/AppleSpell.service/Contents/MacOS/AppleSpell
 6837   ??  S      0:00.10 /usr/libexec/keyboardservicesd
 6838   ??  S      0:00.39 /System/Library/PrivateFrameworks/CoreSuggestions.framework/Versions/A/S
 6839   ??  S      0:00.18 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6840   ??  S      0:00.04 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCSer
 6841   ??  S      0:00.04 /usr/libexec/silhouette
 6842   ??  Ss     0:00.59 /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCS
 6844   ??  Ss     0:00.22 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6845   ??  Ss     0:00.11 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService
 6846   ??  Ss     0:38.51 /System/Library/StagedFrameworks/Safari/WebKit.framework/Versions/A/XPCS
 6847   ??  Ss     0:00.20 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6850   ??  Ss     0:00.30 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6852   ??  S      0:00.31 /System/Library/PrivateFrameworks/AppStoreDaemon.framework/Support/appst
 6856   ??  Ss     0:00.14 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/XPCSe
 6857   ??  S      0:03.12 /Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
 6858   ??  Ss     0:00.11 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6866   ??  S      0:00.22 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/Spee
 6870   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6871   ??  S      0:09.47 /Applications/Preview.app/Contents/MacOS/Preview -psn_0_1122578
 6872   ??  Ss     0:00.03 /System/Library/PrivateFrameworks/XprotectFramework.framework/Versions/A
 6873   ??  Ss     0:00.21 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCom
 6876   ??  S      0:00.07 /System/Library/CoreServices/ScopedBookmarkAgent
 6882   ??  S      0:00.41 /System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.
 7032   ??  S      0:00.06 /System/Library/Frameworks/QuickLook.framework/Resources/quicklookd.app/
 7034   ??  Ss     0:00.08 /System/Library/Frameworks/QuickLook.framework/Versions/A/Resources/quic
 7035   ??  S      0:00.06 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 7036   ??  S      0:00.13 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.fr
 6859 s000  Ss     0:00.02 login -pf delga017
 6860 s000  S      0:00.01 -bash
 7039 s000  R+     0:00.00 ps x
maclab-85:~ delga017$ top
maclab-85:~ delga017$ xlogo
-bash: xlogo: command not found
maclab-85:~ delga017$ xlogo &
[1] 7105
-bash: xlogo: command not found
[1]+  Exit 127                xlogo
maclab-85:~ delga017$ ps
  PID TTY           TIME CMD
 6860 ttys000    0:00.02 -bash
maclab-85:~ delga017$ ps
  PID TTY           TIME CMD
 6860 ttys000    0:00.02 -bash
maclab-85:~ delga017$ jobs
maclab-85:~ delga017$ fg %1
-bash: fg: %1: no such job
maclab-85:~ delga017$ xlogo
-bash: xlogo: command not found
maclab-85:~ delga017$ bg %1
-bash: bg: %1: no such job
maclab-85:~ delga017$ xlogo &
[1] 7110
-bash: xlogo: command not found
[1]+  Exit 127                xlogo
maclab-85:~ delga017$ kill -l 7110
-bash: kill: 7110: invalid signal specification
maclab-85:~ delga017$ xlogo &
[1] 7111
-bash: xlogo: command not found
[1]+  Exit 127                xlogo
maclab-85:~ delga017$ kill -INT 7111
-bash: kill: (7111) - No such process
maclab-85:~ delga017$ xlogo
-bash: xlogo: command not found
maclab-85:~ delga017$ xlogo &
[1] 7119
-bash: xlogo: command not found
[1]+  Exit 127                xlogo
maclab-85:~ delga017$ kill -SIGINT 7111
-bash: kill: (7111) - No such process
maclab-85:~ delga017$ kill -l
 1) SIGHUP	 2) SIGINT	 3) SIGQUIT	 4) SIGILL
 5) SIGTRAP	 6) SIGABRT	 7) SIGEMT	 8) SIGFPE
 9) SIGKILL	10) SIGBUS	11) SIGSEGV	12) SIGSYS
13) SIGPIPE	14) SIGALRM	15) SIGTERM	16) SIGURG
17) SIGSTOP	18) SIGTSTP	19) SIGCONT	20) SIGCHLD
21) SIGTTIN	22) SIGTTOU	23) SIGIO	24) SIGXCPU
25) SIGXFSZ	26) SIGVTALRM	27) SIGPROF	28) SIGWINCH
29) SIGINFO	30) SIGUSR1	31) SIGUSR2	
maclab-85:~ delga017$ xlogo &
[1] 7121
-bash: xlogo: command not found
[1]+  Exit 127                xlogo
maclab-85:~ delga017$ xlogo &
[1] 7122
-bash: xlogo: command not found
[1]+  Exit 127                xlogo
maclab-85:~ delga017$ killall xlogo
No matching processes belonging to you were found
maclab-85:~ delga017$ killall xlogo &
[1] 7124
maclab-85:~ delga017$ No matching processes belonging to you were found

[1]+  Exit 1                  killall xlogo
maclab-85:~ delga017$ kill all
-bash: kill: all: arguments must be process or job IDs
maclab-85:~ delga017$ 
